At_ID,At_Class,At_State,Month,Sales
885,Nurse/Others,IL,1,3
885,Nurse/Others,IL,2,4
885,Nurse/Others,IL,3,2
885,Nurse/Others,IL,4,5
885,Nurse/Others,IL,5,1
885,Nurse/Others,IL,6,1
885,Nurse/Others,IL,7,6
885,Nurse/Others,IL,8,5
885,Nurse/Others,IL,9,6
885,Nurse/Others,IL,10,6
885,Nurse/Others,IL,11,5
885,Nurse/Others,IL,12,1
885,Nurse/Others,IL,13,1
885,Nurse/Others,IL,14,3
885,Nurse/Others,IL,15,5
885,Nurse/Others,IL,16,2
885,Nurse/Others,IL,17,4
885,Nurse/Others,IL,18,4
885,Nurse/Others,IL,19,3
885,Nurse/Others,IL,20,4
885,Nurse/Others,IL,21,2
885,Nurse/Others,IL,22,3
885,Nurse/Others,IL,23,4
885,Nurse/Others,IL,24,5
858,Physician,IL,1,4
858,Physician,IL,2,5
858,Physician,IL,3,3
858,Physician,IL,4,3
858,Physician,IL,5,1
858,Physician,IL,6,2
858,Physician,IL,7,3
858,Physician,IL,8,6
858,Physician,IL,9,1
858,Physician,IL,10,5
858,Physician,IL,11,3
858,Physician,IL,12,1
858,Physician,IL,13,1
858,Physician,IL,14,4
858,Physician,IL,15,6
858,Physician,IL,16,5
858,Physician,IL,17,3
858,Physician,IL,18,5
858,Physician,IL,19,5
858,Physician,IL,20,3
858,Physician,IL,21,2
858,Physician,IL,22,2
858,Physician,IL,23,5
858,Physician,IL,24,6
103,Physician,NY,1,5
103,Physician,NY,2,1
103,Physician,NY,3,3
103,Physician,NY,4,5
103,Physician,NY,5,6
103,Physician,NY,6,2
103,Physician,NY,7,6
103,Physician,NY,8,5
103,Physician,NY,9,3
103,Physician,NY,10,4
103,Physician,NY,11,2
103,Physician,NY,12,3
103,Physician,NY,13,2
103,Physician,NY,14,5
103,Physician,NY,15,1
103,Physician,NY,16,2
103,Physician,NY,17,3
103,Physician,NY,18,3
103,Physician,NY,19,2
103,Physician,NY,20,6
103,Physician,NY,21,1
103,Physician,NY,22,6
103,Physician,NY,23,2
103,Physician,NY,24,3
189,Physician,FL,1,1
189,Physician,FL,2,3
189,Physician,FL,3,4
189,Physician,FL,4,1
189,Physician,FL,5,2
189,Physician,FL,6,4
189,Physician,FL,7,4
189,Physician,FL,8,6
189,Physician,FL,9,4
189,Physician,FL,10,4
189,Physician,FL,11,5
189,Physician,FL,12,5
189,Physician,FL,13,5
189,Physician,FL,14,4
189,Physician,FL,15,4
189,Physician,FL,16,4
189,Physician,FL,17,5
189,Physician,FL,18,4
189,Physician,FL,19,4
189,Physician,FL,20,2
189,Physician,FL,21,6
189,Physician,FL,22,2
189,Physician,FL,23,4
189,Physician,FL,24,1
847,Nurse/Others,IL,1,5
847,Nurse/Others,IL,2,6
847,Nurse/Others,IL,3,5
847,Nurse/Others,IL,4,1
847,Nurse/Others,IL,5,3
847,Nurse/Others,IL,6,1
847,Nurse/Others,IL,7,6
847,Nurse/Others,IL,8,6
847,Nurse/Others,IL,9,2
847,Nurse/Others,IL,10,3
847,Nurse/Others,IL,11,5
847,Nurse/Others,IL,12,3
847,Nurse/Others,IL,13,5
847,Nurse/Others,IL,14,1
847,Nurse/Others,IL,15,4
847,Nurse/Others,IL,16,6
847,Nurse/Others,IL,17,4
847,Nurse/Others,IL,18,6
847,Nurse/Others,IL,19,5
847,Nurse/Others,IL,20,4
847,Nurse/Others,IL,21,1
847,Nurse/Others,IL,22,5
847,Nurse/Others,IL,23,5
847,Nurse/Others,IL,24,6
853,Nurse/Others,IL,1,2
853,Nurse/Others,IL,2,6
853,Nurse/Others,IL,3,5
853,Nurse/Others,IL,4,3
853,Nurse/Others,IL,5,1
853,Nurse/Others,IL,6,6
853,Nurse/Others,IL,7,4
853,Nurse/Others,IL,8,1
853,Nurse/Others,IL,9,6
853,Nurse/Others,IL,10,3
853,Nurse/Others,IL,11,1
853,Nurse/Others,IL,12,3
853,Nurse/Others,IL,13,3
853,Nurse/Others,IL,14,4
853,Nurse/Others,IL,15,1
853,Nurse/Others,IL,16,5
853,Nurse/Others,IL,17,4
853,Nurse/Others,IL,18,5
853,Nurse/Others,IL,19,4
853,Nurse/Others,IL,20,5
853,Nurse/Others,IL,21,5
853,Nurse/Others,IL,22,5
853,Nurse/Others,IL,23,6
853,Nurse/Others,IL,24,2
187,Physician,MI,1,3
187,Physician,MI,2,3
187,Physician,MI,3,4
187,Physician,MI,4,3
187,Physician,MI,5,6
187,Physician,MI,6,2
187,Physician,MI,7,5
187,Physician,MI,8,2
187,Physician,MI,9,5
187,Physician,MI,10,3
187,Physician,MI,11,5
187,Physician,MI,12,1
187,Physician,MI,13,3
187,Physician,MI,14,2
187,Physician,MI,15,5
187,Physician,MI,16,1
187,Physician,MI,17,1
187,Physician,MI,18,5
187,Physician,MI,19,1
187,Physician,MI,20,1
187,Physician,MI,21,2
187,Physician,MI,22,3
187,Physician,MI,23,6
187,Physician,MI,24,2
746,Physician,IL,1,5
746,Physician,IL,2,3
746,Physician,IL,3,2
746,Physician,IL,4,3
746,Physician,IL,5,3
746,Physician,IL,6,5
746,Physician,IL,7,3
746,Physician,IL,8,4
746,Physician,IL,9,4
746,Physician,IL,10,3
746,Physician,IL,11,1
746,Physician,IL,12,3
746,Physician,IL,13,2
746,Physician,IL,14,4
746,Physician,IL,15,2
746,Physician,IL,16,2
746,Physician,IL,17,5
746,Physician,IL,18,1
746,Physician,IL,19,2
746,Physician,IL,20,6
746,Physician,IL,21,6
746,Physician,IL,22,4
746,Physician,IL,23,5
746,Physician,IL,24,5
470,Physician,FL,1,4
470,Physician,FL,2,5
470,Physician,FL,3,6
470,Physician,FL,4,6
470,Physician,FL,5,1
470,Physician,FL,6,3
470,Physician,FL,7,4
470,Physician,FL,8,5
470,Physician,FL,9,4
470,Physician,FL,10,5
470,Physician,FL,11,1
470,Physician,FL,12,1
470,Physician,FL,13,2
470,Physician,FL,14,6
470,Physician,FL,15,2
470,Physician,FL,16,3
470,Physician,FL,17,6
470,Physician,FL,18,5
470,Physician,FL,19,6
470,Physician,FL,20,3
470,Physician,FL,21,4
470,Physician,FL,22,2
470,Physician,FL,23,4
470,Physician,FL,24,4
683,Physician,NY,1,5
683,Physician,NY,2,2
683,Physician,NY,3,6
683,Physician,NY,4,4
683,Physician,NY,5,3
683,Physician,NY,6,1
683,Physician,NY,7,2
683,Physician,NY,8,3
683,Physician,NY,9,3
683,Physician,NY,10,2
683,Physician,NY,11,5
683,Physician,NY,12,6
683,Physician,NY,13,6
683,Physician,NY,14,2
683,Physician,NY,15,6
683,Physician,NY,16,6
683,Physician,NY,17,1
683,Physician,NY,18,3
683,Physician,NY,19,6
683,Physician,NY,20,4
683,Physician,NY,21,3
683,Physician,NY,22,5
683,Physician,NY,23,3
683,Physician,NY,24,6
408,Physician,MI,1,5
408,Physician,MI,2,4
408,Physician,MI,3,4
408,Physician,MI,4,4
408,Physician,MI,5,6
408,Physician,MI,6,1
408,Physician,MI,7,1
408,Physician,MI,8,5
408,Physician,MI,9,1
408,Physician,MI,10,6
408,Physician,MI,11,1
408,Physician,MI,12,6
408,Physician,MI,13,1
408,Physician,MI,14,6
408,Physician,MI,15,1
408,Physician,MI,16,6
408,Physician,MI,17,5
408,Physician,MI,18,5
408,Physician,MI,19,4
408,Physician,MI,20,6
408,Physician,MI,21,3
408,Physician,MI,22,2
408,Physician,MI,23,6
408,Physician,MI,24,1
60,Physician,NY,1,2
60,Physician,NY,2,6
60,Physician,NY,3,5
60,Physician,NY,4,3
60,Physician,NY,5,1
60,Physician,NY,6,5
60,Physician,NY,7,6
60,Physician,NY,8,5
60,Physician,NY,9,1
60,Physician,NY,10,4
60,Physician,NY,11,3
60,Physician,NY,12,2
60,Physician,NY,13,6
60,Physician,NY,14,3
60,Physician,NY,15,1
60,Physician,NY,16,4
60,Physician,NY,17,6
60,Physician,NY,18,3
60,Physician,NY,19,6
60,Physician,NY,20,1
60,Physician,NY,21,3
60,Physician,NY,22,3
60,Physician,NY,23,2
60,Physician,NY,24,5
647,Nurse/Others,MI,1,6
647,Nurse/Others,MI,2,3
647,Nurse/Others,MI,3,3
647,Nurse/Others,MI,4,6
647,Nurse/Others,MI,5,2
647,Nurse/Others,MI,6,1
647,Nurse/Others,MI,7,5
647,Nurse/Others,MI,8,5
647,Nurse/Others,MI,9,6
647,Nurse/Others,MI,10,5
647,Nurse/Others,MI,11,4
647,Nurse/Others,MI,12,6
647,Nurse/Others,MI,13,1
647,Nurse/Others,MI,14,4
647,Nurse/Others,MI,15,3
647,Nurse/Others,MI,16,2
647,Nurse/Others,MI,17,1
647,Nurse/Others,MI,18,2
647,Nurse/Others,MI,19,3
647,Nurse/Others,MI,20,3
647,Nurse/Others,MI,21,6
647,Nurse/Others,MI,22,1
647,Nurse/Others,MI,23,6
647,Nurse/Others,MI,24,4
876,Physician,FL,1,2
876,Physician,FL,2,4
876,Physician,FL,3,3
876,Physician,FL,4,5
876,Physician,FL,5,1
876,Physician,FL,6,2
876,Physician,FL,7,6
876,Physician,FL,8,5
876,Physician,FL,9,5
876,Physician,FL,10,2
876,Physician,FL,11,4
876,Physician,FL,12,3
876,Physician,FL,13,4
876,Physician,FL,14,3
876,Physician,FL,15,5
876,Physician,FL,16,1
876,Physician,FL,17,1
876,Physician,FL,18,6
876,Physician,FL,19,4
876,Physician,FL,20,5
876,Physician,FL,21,1
876,Physician,FL,22,6
876,Physician,FL,23,1
876,Physician,FL,24,2
523,Physician,NY,1,1
523,Physician,NY,2,1
523,Physician,NY,3,1
523,Physician,NY,4,1
523,Physician,NY,5,1
523,Physician,NY,6,1
523,Physician,NY,7,1
523,Physician,NY,8,1
523,Physician,NY,9,1
523,Physician,NY,10,1
523,Physician,NY,11,1
523,Physician,NY,12,1
523,Physician,NY,13,1
523,Physician,NY,14,1
523,Physician,NY,15,1
523,Physician,NY,16,1
523,Physician,NY,17,1
523,Physician,NY,18,1
523,Physician,NY,19,1
523,Physician,NY,20,1
523,Physician,NY,21,1
523,Physician,NY,22,1
523,Physician,NY,23,1
523,Physician,NY,24,1
502,Nurse/Others,MI,1,1
502,Nurse/Others,MI,2,1
502,Nurse/Others,MI,3,5
502,Nurse/Others,MI,4,6
502,Nurse/Others,MI,5,2
502,Nurse/Others,MI,6,3
502,Nurse/Others,MI,7,5
502,Nurse/Others,MI,8,3
502,Nurse/Others,MI,9,3
502,Nurse/Others,MI,10,4
502,Nurse/Others,MI,11,5
502,Nurse/Others,MI,12,5
502,Nurse/Others,MI,13,2
502,Nurse/Others,MI,14,3
502,Nurse/Others,MI,15,4
502,Nurse/Others,MI,16,6
502,Nurse/Others,MI,17,1
502,Nurse/Others,MI,18,3
502,Nurse/Others,MI,19,3
502,Nurse/Others,MI,20,2
502,Nurse/Others,MI,21,6
502,Nurse/Others,MI,22,3
502,Nurse/Others,MI,23,4
502,Nurse/Others,MI,24,4
131,Physician,MI,1,1
131,Physician,MI,2,4
131,Physician,MI,3,5
131,Physician,MI,4,1
131,Physician,MI,5,2
131,Physician,MI,6,1
131,Physician,MI,7,1
131,Physician,MI,8,2
131,Physician,MI,9,6
131,Physician,MI,10,2
131,Physician,MI,11,1
131,Physician,MI,12,3
131,Physician,MI,13,6
131,Physician,MI,14,4
131,Physician,MI,15,6
131,Physician,MI,16,2
131,Physician,MI,17,4
131,Physician,MI,18,2
131,Physician,MI,19,6
131,Physician,MI,20,3
131,Physician,MI,21,5
131,Physician,MI,22,4
131,Physician,MI,23,6
131,Physician,MI,24,3
529,Physician,MI,1,5
529,Physician,MI,2,6
529,Physician,MI,3,2
529,Physician,MI,4,3
529,Physician,MI,5,4
529,Physician,MI,6,1
529,Physician,MI,7,1
529,Physician,MI,8,5
529,Physician,MI,9,2
529,Physician,MI,10,4
529,Physician,MI,11,5
529,Physician,MI,12,6
529,Physician,MI,13,2
529,Physician,MI,14,3
529,Physician,MI,15,4
529,Physician,MI,16,3
529,Physician,MI,17,1
529,Physician,MI,18,6
529,Physician,MI,19,2
529,Physician,MI,20,4
529,Physician,MI,21,6
529,Physician,MI,22,4
529,Physician,MI,23,6
529,Physician,MI,24,3
723,Nurse,MI,1,4
723,Nurse,MI,2,4
723,Nurse,MI,3,4
723,Nurse,MI,4,4
723,Nurse,MI,5,4
723,Nurse,MI,6,4
723,Nurse,MI,7,4
723,Nurse,MI,8,4
723,Nurse,MI,9,4
723,Nurse,MI,10,4
723,Nurse,MI,11,4
723,Nurse,MI,12,4
723,Nurse,MI,13,4
723,Nurse,MI,14,4
723,Nurse,MI,15,4
723,Nurse,MI,16,4
723,Nurse,MI,17,4
723,Nurse,MI,18,4
723,Nurse,MI,19,4
723,Nurse,MI,20,4
723,Nurse,MI,21,4
723,Nurse,MI,22,4
723,Nurse,MI,23,4
723,Nurse,MI,24,4
317,Physician,CA,1,3
317,Physician,CA,2,3
317,Physician,CA,3,1
317,Physician,CA,4,4
317,Physician,CA,5,5
317,Physician,CA,6,3
317,Physician,CA,7,1
317,Physician,CA,8,5
317,Physician,CA,9,5
317,Physician,CA,10,2
317,Physician,CA,11,1
317,Physician,CA,12,4
317,Physician,CA,13,4
317,Physician,CA,14,2
317,Physician,CA,15,6
317,Physician,CA,16,1
317,Physician,CA,17,2
317,Physician,CA,18,4
317,Physician,CA,19,5
317,Physician,CA,20,6
317,Physician,CA,21,6
317,Physician,CA,22,6
317,Physician,CA,23,6
317,Physician,CA,24,2
374,Physician,CA,1,4
374,Physician,CA,2,6
374,Physician,CA,3,5
374,Physician,CA,4,6
374,Physician,CA,5,5
374,Physician,CA,6,3
374,Physician,CA,7,2
374,Physician,CA,8,3
374,Physician,CA,9,1
374,Physician,CA,10,4
374,Physician,CA,11,5
374,Physician,CA,12,6
374,Physician,CA,13,1
374,Physician,CA,14,5
374,Physician,CA,15,6
374,Physician,CA,16,1
374,Physician,CA,17,2
374,Physician,CA,18,3
374,Physician,CA,19,3
374,Physician,CA,20,1
374,Physician,CA,21,1
374,Physician,CA,22,2
374,Physician,CA,23,4
374,Physician,CA,24,5
485,Nurse/Others,FL,1,6
485,Nurse/Others,FL,2,3
485,Nurse/Others,FL,3,6
485,Nurse/Others,FL,4,1
485,Nurse/Others,FL,5,3
485,Nurse/Others,FL,6,4
485,Nurse/Others,FL,7,1
485,Nurse/Others,FL,8,6
