ims_id,Territory ID,Spec
13425,C60401,AS
175577,C60401,ADM
206417,C60401,ADL
391229,C60401,AMI
391238,C60401,OAR
489953,C60401,AM
686449,C60401,AI
706495,C60401,ALI
1571617,C60401,IM
1596606,C60401,IMG
1820163,C60401,CCP
1946634,C60401,NSP
1959899,C60401,AS
1976446,C60401,ADM
1976574,C60401,ADL
1984147,C60401,AMI
2130974,C60401,OAR
2202052,C60401,AM
2393087,C60401,AI
3179872,C60401,ALI
3676878,C60401,IM
9830519,C60401,IMG
D30046PUD,C60401,CCP
12670,C60402,NSP
63845,C60402,ATP
124072,C60402,PTH
130741,C60402,AN
130803,C60402,FM
142994,C60402,CCP
686514,C60402,NSP
796443,C60402,CHP
1597171,C60402,CPP
1905022,C60402,IM
1907412,C60402,AI
1915754,C60402,ALI
1948741,C60402,AI
2135411,C60402,ALI
2138897,C60402,FM
2355361,C60402,CCP
2446917,C60402,NSP
2455462,C60402,CHP
D30040PUD,C60402,CPP
D30114PUD,C60402,IM
130322,C60403,ADM
172643,C60403,ADL
390410,C60403,AMI
407440,C60403,OAR
723098,C60403,AMI
747870,C60403,OAR
815071,C60403,IM
1162648,C60403,IMG
1230124,C60403,CHP
1569592,C60403,CPP
1572259,C60403,IM
1574120,C60403,IMG
1752149,C60403,CHP
1825345,C60403,CPP
1856393,C60403,ADL
1899382,C60403,AMI
1904846,C60403,OAR
2294964,C60403,ADL
2306184,C60403,AMI
2386704,C60403,OAR
D30120IM,C60403,CPP
D30165PUD,C60403,IM
36844,C60404,AS
130357,C60404,ADM
177723,C60404,ADL
206849,C60404,AMI
232060,C60404,OAR
389839,C60404,AM
390384,C60404,AI
404902,C60404,ALI
685058,C60404,IM
686466,C60404,IMG
686516,C60404,CCP
720958,C60404,NSP
723113,C60404,AS
732670,C60404,ADM
747442,C60404,ADL
748024,C60404,AMI
1585036,C60404,OAR
1815953,C60404,AM
1994047,C60404,AI
1995212,C60404,ALI
2131145,C60404,IM
2398194,C60404,IMG
2456011,C60404,CCP
3408450,C60404,NSP
4412703,C60404,ATP
4476333,C60404,PTH
4493871,C60404,AN
4512194,C60404,FM
674,C60405,CCP
13388,C60405,NSP
52305,C60405,CHP
113844,C60405,CPP
723025,C60405,IM
813157,C60405,AI
857591,C60405,ALI
1272680,C60405,AI
1624052,C60405,ALI
1832580,C60405,FM
D30060IM,C60405,CCP
130672,C60406,NSP
718218,C60406,CHP
747471,C60406,CPP
795981,C60406,IM
803799,C60406,ADM
813951,C60406,ADL
1341267,C60406,AMI
1614153,C60406,OAR
1696565,C60406,AMI
1819214,C60406,OAR
1861285,C60406,IM
1889093,C60406,IMG
2134641,C60406,CHP
2232127,C60406,CPP
2382771,C60406,IM
3223399,C60406,IMG
4478204,C60406,CHP
9500465,C60406,CPP
D30322PUD,C60406,ADL
D30363IM,C60406,AMI
98815,C60408,OAR
686459,C60408,ADL
744804,C60408,AMI
747637,C60408,OAR
787080,C60408,CPP
1819241,C60408,IM
1819259,C60408,AS
1959877,C60408,ADM
2255471,C60408,ADL
2363216,C60408,AMI
D30311NRP,C60408,OAR
12586,C60409,AM
755866,C60409,AI
1586984,C60409,ALI
1858620,C60409,IM
1933871,C60409,IMG
2131429,C60409,CCP
2371693,C60409,NSP
2400131,C60409,AS
3550479,C60409,ADM
D30117FM,C60409,ADL
D30263PCC,C60409,AMI
12673,C60410,OAR
71769,C60410,AM
104443,C60410,AI
390463,C60410,ALI
685477,C60410,IM
1229979,C60410,IMG
1575144,C60410,CCP
1592727,C60410,NSP
1740582,C60410,ATP
1808435,C60410,PTH
1818973,C60410,AN
1819254,C60410,FM
1859168,C60410,CCP
1860009,C60410,NSP
1867826,C60410,CHP
1989979,C60410,CPP
1991918,C60410,IM
1999574,C60410,AI
2000899,C60410,ALI
2004269,C60410,AI
2017729,C60410,ALI
2018113,C60410,FM
2392556,C60410,CCP
2462889,C60410,NSP
2410023,C60410,ALI
2113585,C60410,AKT
2224882,C60410,AFP
2197471,C60410,BIK
2300244,C60410,TIL
2363325,C60410,PRD
2182377,C60410,AI
